Idx,
1,7.919
2,15.866
3,14.178
4,14.919
5,13.831
6,14.035
7,17.386
8,24.405
9,25.857
10,25.377
11,25.843
12,25.128
13,23.09
14,23.008
15,22.105
16,20.707
17,23.684
18,26.388
19,27.431
20,29.89
21,30.484
22,29.6
23,28.065
24,25.747
25,21.808
26,20.931
27,21.351
28,20.794
29,20.627
30,21.356
31,24.038
32,28.297
33,30.941
34,31.119
35,31.091
36,30.464
37,30.538
38,28.997
39,28.113
40,28.255
41,29.655
42,30.726
43,30.995
44,31.882
45,32.453
46,32.599
47,29.043
48,25.393
49,22.511
50,20.396
51,20.118
52,19.406
53,18.727
54,19.122
55,21.089
56,23.348
57,25.947
58,28.151
59,30.264
60,30.932
61,31.308
62,30.163
63,28.913
64,28.588
65,28.626
66,28.812
67,29.387
68,30.875
69,30.442
70,29.76
71,26.426
72,23.993
73,21.302
74,19.735
75,18.607
76,18.022
77,19.021
78,19.46
79,20.388
80,21.098
81,23.722
82,26.447
83,28.659
84,28.25
85,27.052
86,24.632
87,22.617
88,21.512
89,22.161
90,22.1
91,22.759
92,24.226
93,23.789
94,26.194
95,23.658
96,22.483
97,20.26
98,18.519
99,17.469
100,16.414
101,16.771
102,17.591
103,18.557
104,18.504
105,20.456
106,23.455
107,26.354
108,26.567
109,24.848
110,23.402
111,21.727
112,20.935
113,21.223
114,22.217
115,22.032
116,22.544
117,22.765
118,24.754
119,23.29
120,21.101
121,17.871
122,16.443
123,15.426
124,15.008
125,14.963
126,15.557
127,16.957
128,18.443
129,20.607
130,23.203
131,25.505
132,24.886
133,23.507
134,21.844
135,19.904
136,18.001
137,17.968
138,20.339
139,21.128
140,22.329
141,23.292
142,26.728
143,23.223
144,20.883
145,18.693
146,15.136
147,14.559
148,14.654
149,14.872
150,15.897
151,18.164
152,20.896
153,23.027
154,23.819
155,26.448
156,26.661
157,25.868
158,25.227
159,24.217
160,24.967
161,25.068
162,25.087
163,25.368
164,26.862
165,27.961
166,30.141
167,27.004
168,24.13
169,21.283
170,20.108
171,19.973
172,19.503
173,18.864
174,19.877
175,22.422
176,24.7
177,26.869
178,27.897
179,28.412
180,28.07
181,26.978
182,26.154
183,24.577
184,24.329
185,25.738
186,27.514
187,27.953
188,28.552
189,28.799
190,29.914
191,26.737
192,21.847
193,18.96
194,18.625
195,17.207
196,16.646
197,15.533
198,16.455
199,19.314
200,22.377
201,24.058
202,25.145
203,25.829
204,24.328
205,22.686
206,20.325
207,18.646
208,18.232
209,17.517
210,19.344
211,19.611
212,21.605
213,23.418
214,27.194
215,24.076
216,21.342
217,16.867
218,16.432
219,15.362
220,14.767
221,14.66
222,14.955
223,16.377
224,17.894
225,20.549
226,23.692
227,25.458
228,23.196
229,19.88
230,19.238
231,17.843
232,16.225
233,19.568
234,20.771
235,19.614
236,22.12
237,19.685
238,18.718
239,18.333
240,15.426
241,11.312
242,8.288
243,7.271
244,9.197
245,11.941
246,6.271
247,7.197
248,11.198
249,17.342
250,16.496
251,18.394
252,18.174
253,18.617
254,16.583
255,15.38
256,15.047
257,15.357
258,19.414
259,19.046
260,19.926
261,19.606
262,17.688
263,17.861
264,14.374
265,13.903
266,9.515
267,7.94
268,7.198
269,7.747
270,8.801
271,10.775
272,12.737
273,17.583
274,19.657
275,25.393
276,27.821
277,27.028
278,25.533
279,22.648
280,21.024
281,17.828
282,17.945
283,18.724
284,19.895
285,21.359
286,24.072
287,23.687
288,19.623
289,18.376
290,15.134
291,15.346
292,15.763
293,15.764
294,15.528
295,18.048
296,22.04
297,25.306
298,27.326
299,28.006
300,25.776
301,23.044
302,22.539
303,23.92
304,25.291
305,26.681
306,25.374
307,25.055
308,26.483
309,27.098
310,23.906
311,18.994
312,15.145
313,11.931
314,10.095
315,9.036
316,8.806
317,8.815
318,9.55
319,14.335
320,16.892
321,17.307
